station_id,event_id,start_date,end_date,duration,severity,intensity,peak_SSI,severity_hm3
9005,8,1989-05-17,1989-05-29,13,3.9806,0.3062,-1.7177,2.6762
9005,9,1989-06-18,1989-07-06,19,0.5074,0.0267,-1.4449,0.1834
9005,10,1989-07-18,1989-10-10,85,5.4992,0.0647,-1.7401,1.0564
9005,11,1989-12-31,1990-01-24,25,3.6821,0.1473,-1.6101,2.4693
9005,12,1990-03-13,1990-04-05,24,2.7614,0.1151,-1.5316,2.6157
9005,13,1990-07-02,1990-07-14,13,1.3208,0.1016,-1.4799,0.4253
9005,14,1992-01-26,1992-02-04,10,0.3451,0.0345,-1.4054,0.0138
9005,15,1992-03-04,1992-03-15,12,0.5644,0.047,-1.4557,1.2082
9005,16,1993-02-21,1993-03-03,11,0.1488,0.0135,-1.3834,0.4784
9005,17,1995-07-15,1995-10-05,83,23.8247,0.287,-2.119,6.3221
9005,18,1995-10-19,1995-11-13,26,10.3251,0.3971,-2.0129,4.936
9005,19,1996-06-28,1996-07-02,5,0.2906,0.0581,-1.4425,0.1244
9005,20,1997-03-16,1997-04-28,44,7.5397,0.1714,-1.7576,4.2149
9005,21,1998-07-12,1998-08-12,32,2.4255,0.0758,-1.7056,0.6591
9005,22,1998-08-25,1998-08-29,5,0.2749,0.055,-1.4573,0.019
9005,23,1999-03-19,1999-04-27,40,2.9007,0.0725,-1.561,1.3009
9005,24,1999-07-20,1999-08-05,17,16.5011,0.9707,-3.2289,4.3129
9005,25,1999-09-16,2000-04-10,208,117.774,0.5662,-3.4454,67.7593
9005,26,2000-05-01,2000-06-26,57,17.5624,0.3081,-2.5906,8.1931
9005,27,2000-08-28,2000-09-23,27,11.3634,0.4209,-3.5201,2.3665
9005,28,2000-10-09,2000-10-20,12,1.1226,0.0936,-1.6766,0.5668
9005,29,2000-11-12,2000-11-16,5,0.1399,0.028,-1.3611,0.2765
9005,30,2000-12-13,2000-12-22,10,1.5103,0.151,-1.5947,1.6269
9005,31,2001-02-15,2001-03-02,16,14.7469,0.9217,-4.7534,8.9041
9005,32,2001-03-18,2001-10-18,215,110.6164,0.5145,-4.7534,45.5128
9005,33,2001-12-18,2002-05-24,158,38.1061,0.2412,-1.9896,32.1165
9005,34,2002-06-14,2002-08-30,78,43.7408,0.5608,-2.3967,12.9007
9005,35,2002-09-12,2002-10-11,30,19.1189,0.6373,-2.3866,5.3785
9005,36,2002-12-13,2002-12-27,15,0.5664,0.0378,-1.4308,0.7802
9005,37,2003-01-14,2003-01-19,6,0.5422,0.0904,-1.4261,0.1538
9005,38,2003-03-19,2003-05-16,59,15.9841,0.2709,-1.8687,11.4951
9005,39,2003-05-31,2003-09-06,99,56.5509,0.5712,-3.2978,15.6925
9005,40,2003-12-12,2003-12-22,11,1.2516,0.1138,-1.571,1.4973
9005,41,2004-01-21,2004-04-22,93,18.945,0.2037,-2.1217,17.088
9005,42,2004-05-16,2004-05-27,12,3.6347,0.3029,-1.8923,2.3139
9005,43,2004-06-18,2004-11-15,151,39.2512,0.2599,-2.3177,12.077
9005,44,2004-12-15,2004-12-26,12,1.3752,0.1146,-1.6163,1.2995
9005,45,2005-01-13,2005-02-10,29,4.4679,0.1541,-1.7833,3.9174
9005,46,2005-06-04,2005-06-27,24,5.0758,0.2115,-1.7006,2.0582
9005,47,2005-10-05,2005-10-11,7,1.2049,0.1721,-1.8732,0.464
9005,48,2006-01-26,2006-01-31,6,0.4483,0.0747,-1.3814,0.0
9005,49,2006-04-08,2006-04-16,9,0.2281,0.0253,-1.3295,0.0
9005,50,2006-05-24,2006-07-01,39,15.2521,0.3911,-2.8938,6.0449
9005,51,2007-01-09,2007-01-23,15,2.5476,0.1698,-1.5136,1.5846
9005,52,2008-01-27,2008-03-22,56,5.8924,0.1052,-1.8407,7.1744
9005,53,2008-10-11,2008-12-04,55,49.9813,0.9088,-3.0013,22.746
9005,54,2008-12-29,2009-01-20,23,29.9303,1.3013,-2.932,16.2
9005,55,2009-05-31,2009-06-16,17,1.4509,0.0853,-1.8629,0.8186
9005,56,2010-07-06,2010-07-13,8,1.4699,0.1837,-1.5943,0.4899
9005,57,2011-02-03,2011-02-13,11,0.301,0.0274,-1.4442,0.3833
9005,58,2011-04-11,2011-06-06,57,39.8931,0.6999,-2.8918,23.1993
9005,59,2011-06-30,2011-07-11,12,2.9897,0.2491,-2.1474,0.9616
9005,60,2011-09-23,2011-09-27,5,0.4184,0.0837,-1.571,0.1226
9005,61,2011-10-28,2011-12-30,64,33.6729,0.5261,-2.6238,17.6611
9005,62,2012-01-11,2012-04-15,96,35.6167,0.371,-2.3085,29.8713
