station_id,n_events,mean_severity,pool_gap,min_duration
9074,67,11.595285074626865,5,10
9078,60,16.175353333333334,5,10
9079,65,15.322264615384615,5,10
9093,41,24.294080487804877,5,10
9096,48,14.375033333333333,5,10
9097,36,24.187527777777778,5,10
9101,29,34.49458965517242,5,10
9118,59,17.383469491525425,5,10
9120,60,17.230313333333335,5,10
9124,84,33.313455952380956,5,10
9126,64,13.2831578125,5,10
9142,70,12.22117,5,10
9150,67,14.74080895522388,5,10
9002,109,9.590600917431194,7,3
9003,90,10.53589888888889,7,3
9004,128,7.65495234375,7,3
9005,104,8.998989423076923,7,3
9011,126,7.9808650793650795,7,3
9013,179,5.753211731843575,7,3
9018,156,6.127319871794872,7,3
9020,113,7.542080530973451,7,3
9021,123,7.764571544715447,7,3
9025,109,9.035061467889907,7,3
9027,105,8.967150476190476,7,3
9036,129,8.243452713178295,7,3
9038,68,15.47944705882353,7,3
9040,118,7.860080508474576,7,3
9044,80,12.09952625,7,3
9048,71,14.4733,7,3
9050,73,14.563302739726028,7,3
9063,102,9.451171568627451,7,3
9064,129,7.357250387596899,7,3
9065,110,9.480989999999998,7,3
9074,112,7.325641071428572,7,3
9078,95,10.550752631578948,7,3
9079,101,10.259785148514851,7,3
9093,54,18.68001111111111,7,3
9096,71,10.338459154929577,7,3
9097,68,13.673027941176471,7,3
9101,50,20.299184,7,3
9118,96,11.342139583333333,7,3
9120,91,11.943285714285715,7,3
9124,98,29.459518367346938,7,3
9126,119,8.25343193277311,7,3
9142,101,8.972189108910891,7,3
9150,83,12.427667469879518,7,3
9002,94,11.018696808510638,7,5
9003,81,11.649162962962961,7,5
9004,110,8.762177272727273,7,5
9005,88,10.495213636363637,7,5
9011,111,8.91233963963964,7,5
9013,158,6.374003797468354,7,5
9018,129,7.230444186046512,7,5
9020,95,8.876777894736842,7,5
9021,104,9.042455769230768,7,5
9025,99,9.843619191919192,7,5
9027,91,10.23298021978022,7,5
9036,111,9.344059459459459,7,5
9038,61,17.138004918032788,7,5
